conversation_id,n_comments,s80,s90
9d3sof,54,0.6296296296296297,0.7962962962962963
9d3u2n,42,0.6428571428571429,0.8333333333333334
9d3wa8,23,0.6521739130434783,0.8695652173913043
9d3zeg,37,0.5675675675675675,0.7837837837837838
9d471x,25,0.68,0.88
9d4agn,44,0.6818181818181818,0.8409090909090909
9d4q17,24,0.6666666666666666,0.8333333333333334
9d4qvi,34,0.7352941176470589,0.8823529411764706
9d4rp8,28,0.7142857142857143,0.8571428571428571
9d4suh,31,0.6774193548387096,0.8387096774193549
9d4sux,23,0.6521739130434783,0.8695652173913043
9d4un1,23,0.6956521739130435,0.8695652173913043
9d4vxg,145,0.593103448275862,0.7724137931034483
9d50r7,56,0.6428571428571429,0.8214285714285714
9d510x,20,0.5,0.8
9d51rg,116,0.6120689655172413,0.8103448275862069
9d51y3,54,0.6481481481481481,0.7962962962962963
9d52mt,49,0.6326530612244898,0.8163265306122449
9d55j0,88,0.6136363636363636,0.8181818181818182
9d56ke,39,0.6410256410256411,0.8461538461538461
9d5b35,28,0.6428571428571429,0.8214285714285714
9d5ca9,32,0.65625,0.875
9d5d5n,26,0.5384615384615384,0.7692307692307693
9d5id2,23,0.5652173913043478,0.8260869565217391
9d5jkj,26,0.5769230769230769,0.7692307692307693
9d5kh1,194,0.5979381443298969,0.788659793814433
9d5nh1,20,0.5,0.8
9d5nit,30,0.6333333333333333,0.8666666666666667
9d5oh8,26,0.6923076923076923,0.8461538461538461
9d5rrc,20,0.65,0.85
9d5t21,50,0.64,0.82
9d5xcr,23,0.6956521739130435,0.8695652173913043
9d625b,28,0.6428571428571429,0.8214285714285714
9d640a,71,0.6197183098591549,0.8309859154929577
9d6dz6,23,0.6086956521739131,0.8260869565217391
9d6g5b,23,0.6956521739130435,0.8695652173913043
9d6h3h,36,0.6944444444444444,0.8611111111111112
9d6ltc,329,0.601823708206687,0.7689969604863222
9d6mc9,66,0.5909090909090909,0.7878787878787878
9d6nrb,70,0.5571428571428572,0.7571428571428571
9d6tbd,31,0.6129032258064516,0.8064516129032258
9d6u67,62,0.5967741935483871,0.7741935483870968
9d6ux6,106,0.6226415094339622,0.8301886792452831
9d6v11,36,0.6111111111111112,0.8333333333333334
9d6wb8,125,0.576,0.784
9d6wz7,23,0.6956521739130435,0.8260869565217391
9d6xqk,225,0.6,0.7866666666666666
9d71cq,21,0.7619047619047619,0.9047619047619048
9d73fu,24,0.625,0.8333333333333334
9d75an,29,0.6896551724137931,0.8275862068965517
9d78tp,32,0.65625,0.84375
9d79al,48,0.6458333333333334,0.8125
9d7b6p,21,0.6666666666666666,0.8571428571428571
9d7bmb,43,0.6744186046511628,0.8372093023255814
9d7bmr,38,0.631578947368421,0.8157894736842105
9d7dvm,27,0.6296296296296297,0.7777777777777778
9d7fzi,27,0.5925925925925926,0.8518518518518519
9d7nlk,43,0.6046511627906976,0.7906976744186046
9d7xpi,33,0.6666666666666666,0.8484848484848485
9d7xyl,21,0.6666666666666666,0.8095238095238095
9d890g,23,0.6956521739130435,0.8260869565217391
9d8ep1,59,0.6101694915254238,0.7966101694915254
9d8g97,20,0.6,0.85
9d8n2i,20,0.7,0.9
9d8u11,22,0.6818181818181818,0.8181818181818182
9d8ugm,88,0.625,0.8181818181818182
9d8vhk,22,0.7272727272727273,0.8636363636363636
9d98pk,28,0.6071428571428571,0.8214285714285714
9d99t2,56,0.6071428571428571,0.7857142857142857
9d9dck,26,0.6923076923076923,0.8461538461538461
9d9fqs,24,0.625,0.8333333333333334
9d9n9e,21,0.6666666666666666,0.8095238095238095
9d9q3j,38,0.631578947368421,0.8421052631578947
9d9tsv,44,0.5681818181818182,0.7954545454545454
9da5ir,22,0.6363636363636364,0.8181818181818182
9daars,24,0.6666666666666666,0.875
9dabab,52,0.6346153846153846,0.8269230769230769
9danc5,93,0.6559139784946236,0.8279569892473119
9daoxu,21,0.7142857142857143,0.9047619047619048
9darlp,118,0.6440677966101694,0.8220338983050848
9daust,50,0.66,0.86
